42,"CON(g01,ROW)","household demand for goods","gdp","ROW",
43,"CON(g02,USA)","household demand for goods","gdp","USA",
44,"CON(g02,ROW)","household demand for goods","gdp","ROW",
45,"CONP(USA)","national accounts consumption","gdp","USA",
46,"CONP(ROW)","national accounts consumption","gdp","ROW",
47,"CURN(USA)","domestic currency current account using nominal interest payments","gdp","USA",
48,"CURN(ROW)","domestic currency current account using nominal interest payments","gdp","ROW",
49,"CURR(USA)","USD current account using real interest payments","gdp","USA",
50,"CURR(ROW)","USD current account using real interest payments","gdp","ROW",
51,"DEFI(USA)","fiscal deficit (real interest rates)","gdp","USA",
52,"DEFI(ROW)","fiscal deficit (real interest rates)","gdp","ROW",
53,"DEFN(USA)","fiscal deficit (nominal interest rates)","gdp","USA",
54,"DEFN(ROW)","fiscal deficit (nominal interest rates)","gdp","ROW",
55,"DEFX(USA)","fiscal deficit shocks (real interest rates)","gdp","USA",
56,"DEFX(ROW)","fiscal deficit shocks (real interest rates)","gdp","ROW",
57,"ECOL(USA)","CO2 emissions from coal","mmt","USA",
58,"ECOL(ROW)","CO2 emissions from coal","mmt","ROW",
59,"EGAS(USA)","CO2 emissions from gas","mmt","USA",
60,"EGAS(ROW)","CO2 emissions from gas","mmt","ROW",
61,"EN(a01,g01,USA)","sector demand for energy goods","gdp","USA",
62,"EN(a01,g01,ROW)","sector demand for energy goods","gdp","ROW",
63,"EN(a02,g01,USA)","sector demand for energy goods","gdp","USA",
64,"EN(a02,g01,ROW)","sector demand for energy goods","gdp","ROW",
65,"ENT(a01,USA)","sector demand for energy","gdp","USA",
66,"ENT(a01,ROW)","sector demand for energy","gdp","ROW",
67,"ENT(a02,USA)","sector demand for energy","gdp","USA",
68,"ENT(a02,ROW)","sector demand for energy","gdp","ROW",
69,"EOIL(USA)","CO2 emissions from oil","mmt","USA",
70,"EOIL(ROW)","CO2 emissions from oil","mmt","ROW",
71,"EPRC(USA)","expected consumer price inflation rate","pct","USA",
72,"EPRC(ROW)","expected consumer price inflation rate","pct","ROW",
73,"EXCH(USA)","exch rate as US$ per unit of region currency","idx","USA",
74,"EXCH(ROW)","exch rate as US$ per unit of region currency","idx","ROW",
75,"EXCL(USA)","exch rate as US$ per unit of region currency - lagged","idx","USA",
76,"EXCL(ROW)","exch rate as US$ per unit of region currency - lagged","idx","ROW",
77,"EXCR(USA)","country risk premium relative to US","pct","USA",
78,"EXCR(ROW)","country risk premium relative to US","pct","ROW",
79,"EXCX(USA)","exchange rate target percentage change","pct","USA",
80,"EXCX(ROW)","exchange rate target percentage change","pct","ROW",
81,"EXQ(g01,USA)","exports, EXP.xx","gdp","USA",
82,"EXQ(g01,ROW)","exports, EXP.xx","gdp","ROW",
83,"EXQ(g02,USA)","exports, EXP.xx","gdp","USA",
84,"EXQ(g02,ROW)","exports, EXP.xx","gdp","ROW",
85,"EXQT(USA)","value of exports at source","gdp","USA",
86,"EXQT(ROW)","value of exports at source","gdp","ROW",
87,"EYGR(USA)","expected output growth","pct","USA",
88,"EYGR(ROW)","expected output growth","pct","ROW",
89,"GCE(g01,USA)","government purchases of goods and services","gdp","USA",
90,"GCE(g01,ROW)","government purchases of goods and services","gdp","ROW",
91,"GCE(g02,USA)","government purchases of goods and services","gdp","USA",
92,"GCE(g02,ROW)","government purchases of goods and services","gdp","ROW",
93,"GCET(USA)","national accounts government spending excluding labor","gdp","USA",
94,"GCET(ROW)","national accounts government spending excluding labor","gdp","ROW",
95,"GDPN(USA)","GDP, nominal","gdp","USA",
96,"GDPN(ROW)","GDP, nominal","gdp","ROW",
97,"GDPR(USA)","GDP, real","gdp","USA",
98,"GDPR(ROW)","GDP, real","gdp","ROW",
99,"GNEN(USA)","GNE, nominal","gdp","USA",
100,"GNEN(ROW)","GNE, nominal","gdp","ROW",
101,"GNER(USA)","GNE, real","gdp","USA",
102,"GNER(ROW)","GNE, real","gdp","ROW",
103,"GNPR(USA)","gross national product","gdp","USA",
104,"GNPR(ROW)","gross national product","gdp","ROW",
105,"GOVL(USA)","labor used by government","gdp","USA",
106,"GOVL(ROW)","labor used by government","gdp","ROW",
107,"GOVS(USA)","government spending excluding labor","gdp","USA",
108,"GOVS(ROW)","government spending excluding labor","gdp","ROW",
109,"GOVT(USA)","national accounts government spending including labor","gdp","USA",
110,"GOVT(ROW)","national accounts government spending including labor","gdp","ROW",
111,"IIN(g01,USA)","raw capital sector demand for goods","gdp","USA",
112,"IIN(g01,ROW)","raw capital sector demand for goods","gdp","ROW",
113,"IIN(g02,USA)","raw capital sector demand for goods","gdp","USA",
114,"IIN(g02,ROW)","raw capital sector demand for goods","gdp","ROW",
115,"IITE(USA)","raw capital sector demand for energy","gdp","USA",
116,"IITE(ROW)","raw capital sector demand for energy","gdp","ROW",
117,"IITL(USA)","raw capital sector demand for labor","gdp","USA",
118,"IITL(ROW)","raw capital sector demand for labor","gdp","ROW",
119,"IITO(USA)","raw capital sector demand for material","gdp","USA",
120,"IITO(ROW)","raw capital sector demand for material","gdp","ROW",
121,"IMP(g01,USA,USA)","individual imports, IMP.xy","gdp","USA",
122,"IMP(g01,USA,ROW)","individual imports, IMP.xy","gdp","USA",
123,"IMP(g01,ROW,USA)","individual imports, IMP.xy","gdp","ROW",
124,"IMP(g01,ROW,ROW)","individual imports, IMP.xy","gdp","ROW",
125,"IMP(g02,USA,USA)","individual imports, IMP.xy","gdp","USA",
126,"IMP(g02,USA,ROW)","individual imports, IMP.xy","gdp","USA",
127,"IMP(g02,ROW,USA)","individual imports, IMP.xy","gdp","ROW",
128,"IMP(g02,ROW,ROW)","individual imports, IMP.xy","gdp","ROW",
129,"IMPX(g01,USA,USA)","individual imports shift ","gdp","USA",
130,"IMPX(g01,USA,ROW)","individual imports shift ","gdp","USA",
131,"IMPX(g01,ROW,USA)","individual imports shift ","gdp","ROW",
132,"IMPX(g01,ROW,ROW)","individual imports shift ","gdp","ROW",
133,"IMPX(g02,USA,USA)","individual imports shift ","gdp","USA",
134,"IMPX(g02,USA,ROW)","individual imports shift ","gdp","USA",
135,"IMPX(g02,ROW,USA)","individual imports shift ","gdp","ROW",
136,"IMPX(g02,ROW,ROW)","individual imports shift ","gdp","ROW",
137,"IMQ(g01,USA)","DF imports by good, IMQ.xx","gdp","USA",
138,"IMQ(g01,ROW)","DF imports by good, IMQ.xx","gdp","ROW",
139,"IMQ(g02,USA)","DF imports by good, IMQ.xx","gdp","USA",
140,"IMQ(g02,ROW)","DF imports by good, IMQ.xx","gdp","ROW",
141,"IMQT(USA)","value of imports at destination","gdp","USA",
142,"IMQT(ROW)","value of imports at destination","gdp","ROW",
143,"INAS(USA)","nominal USD net interest payments on foreign assets","gdp","USA",
144,"INAS(ROW)","nominal USD net interest payments on foreign assets","gdp","ROW",
145,"INCM(USA)","after tax household income","gdp","USA",
146,"INCM(ROW)","after tax household income","gdp","ROW",
147,"INFCL(USA)","household materials inflation rate","pct","USA",
148,"INFCL(ROW)","household materials inflation rate","pct","ROW",
149,"INFL(USA)","aggregate consumer price inflation","pct","USA",
150,"INFL(ROW)","aggregate consumer price inflation","pct","ROW",
151,"INFP(USA)","aggregate output price inflation","pct","USA",
152,"INFP(ROW)","aggregate output price inflation","pct","ROW",
153,"INFX(USA)","inflation target","pct","USA",
154,"INFX(ROW)","inflation target","pct","ROW",
155,"INS(USA,g01)","shocks to aggregate investment demand","gdp","USA",
156,"INS(USA,g02)","shocks to aggregate investment demand","gdp","USA",
157,"INS(ROW,g01)","shocks to aggregate investment demand","gdp","ROW",
158,"INS(ROW,g02)","shocks to aggregate investment demand","gdp","ROW",
159,"INTF(USA)","risk free interest rate, short-run, real","pct","USA",
160,"INTF(ROW)","risk free interest rate, short-run, real","pct","ROW",
161,"INTL(USA)","interest rate, short-run, nominal (lagged)","pct","USA",
162,"INTL(ROW)","interest rate, short-run, nominal (lagged)","pct","ROW",
163,"INTN(USA)","interest rate, short (policy), nominal","pct","USA",
164,"INTN(ROW)","interest rate, short (policy), nominal","pct","ROW",
165,"INTR(USA)","risk adjusted interest rate, short-run, real","pct","USA",
166,"INTR(ROW)","risk adjusted interest rate, short-run, real","pct","ROW",
167,"INTX(USA)","shock to interest rate target","del","USA",
168,"INTX(ROW)","shock to interest rate target","del","ROW",
169,"INV(a01,USA)","raw investment","gdp","USA",
170,"INV(a01,ROW)","raw investment","gdp","ROW",
171,"INV(a02,USA)","raw investment","gdp","USA",
172,"INV(a02,ROW)","raw investment","gdp","ROW",
173,"INVP(USA)","total investment by standard sectors","gdp","USA",
174,"INVP(ROW)","total investment by standard sectors","gdp","ROW",
175,"INVT(USA)","total investment including by households","gdp","USA",
176,"INVT(ROW)","total investment including by households","gdp","ROW",
177,"INVY(USA)","raw investment","gdp","USA",
178,"INVY(ROW)","raw investment","gdp","ROW",
179,"INVZ(USA)","household investment","gdp","USA",
180,"INVZ(ROW)","household investment","gdp","ROW",
181,"IRAS(USA)","real USD net interest payments on foreign assets","gdp","USA",
182,"IRAS(ROW)","real USD net interest payments on foreign assets","gdp","ROW",
183,"JNV(a01,USA)","installed investment","gdp","USA",
184,"JNV(a01,ROW)","installed investment","gdp","ROW",
185,"JNV(a02,USA)","installed investment","gdp","USA",
186,"JNV(a02,ROW)","installed investment","gdp","ROW",
187,"JNVY(USA)","installed investment in the raw capital sector","gdp","USA",
188,"JNVY(ROW)","installed investment in the raw capital sector","gdp","ROW",
189,"JNVZ(USA)","installed household investment","gdp","USA",
190,"JNVZ(ROW)","installed household investment","gdp","ROW",
191,"LAB(a01,USA)","sector demand for labor","gdp","USA",
192,"LAB(a01,ROW)","sector demand for labor","gdp","ROW",
193,"LAB(a02,USA)","sector demand for labor","gdp","USA",
194,"LAB(a02,ROW)","sector demand for labor","gdp","ROW",
195,"LABO(USA)","total labor demanded","gdp","USA",
196,"LABO(ROW)","total labor demanded","gdp","ROW",
197,"LABX(USA)","shock to total labor supply","gdp","USA",
198,"LABX(ROW)","shock to total labor supply","gdp","ROW",
199,"LAM(a01,USA)","marginal value of an additional unit of capital","pct","USA",
200,"LAM(a01,ROW)","marginal value of an additional unit of capital","pct","ROW",
201,"LAM(a02,USA)","marginal value of an additional unit of capital","pct","USA",
202,"LAM(a02,ROW)","marginal value of an additional unit of capital","pct","ROW",
203,"LAMY(USA)","marginal value of an additional unit of capital in the raw capital sector","pct","USA",
204,"LAMY(ROW)","marginal value of an additional unit of capital in the raw capital sector","pct","ROW",
205,"LAMZ(USA)","marginal value of an additional unit of household capital","pct","USA",
206,"LAMZ(ROW)","marginal value of an additional unit of household capital","pct","ROW",
207,"LGDPN(USA)","GDP, nominal","nomusdbillion","USA",
208,"LGDPN(ROW)","GDP, nominal","nomusdbillion","ROW",
209,"LGDPR(USA)","GDP, real","realusdbillion","USA",
210,"LGDPR(ROW)","GDP, real","realusdbillion","ROW",
211,"MONE(USA)","money demand","idx","USA",
212,"MONE(ROW)","money demand","idx","ROW",
213,"NB02(USA)","interest rate, 2-year, nominal","pct","USA",
214,"NB02(ROW)","interest rate, 2-year, nominal","pct","ROW",
215,"NB05(USA)","interest rate, 5-year, nominal","pct","USA",
216,"NB05(ROW)","interest rate, 5-year, nominal","pct","ROW",
217,"NB10(USA)","interest rate, 10-year, nominal","pct","USA",
218,"NB10(ROW)","interest rate, 10-year, nominal","pct","ROW",
219,"NEER(USA)","trade-weighted exchange rate, FC/domestic","idx","USA",
220,"NEER(ROW)","trade-weighted exchange rate, FC/domestic","idx","ROW",
221,"OI(a01,g02,USA)","sector demand for material goods","gdp","USA",
222,"OI(a01,g02,ROW)","sector demand for material goods","gdp","ROW",
223,"OI(a02,g02,USA)","sector demand for material goods","gdp","USA",
224,"OI(a02,g02,ROW)","sector demand for material goods","gdp","ROW",
225,"OIN(a01,USA)","sector demand for materials","gdp","USA",
226,"OIN(a01,ROW)","sector demand for materials","gdp","ROW",
227,"OIN(a02,USA)","sector demand for materials","gdp","USA",
228,"OIN(a02,ROW)","sector demand for materials","gdp","ROW",
229,"OUG(g01,USA)","domestic supply of goods","gdp","USA",
230,"OUG(g01,ROW)","domestic supply of goods","gdp","ROW",
231,"OUG(g02,USA)","domestic supply of goods","gdp","USA",
232,"OUG(g02,ROW)","domestic supply of goods","gdp","ROW",
233,"OUP(a01,USA)","domestic production","gdp","USA",
234,"OUP(a01,ROW)","domestic production","gdp","ROW",
235,"OUP(a02,USA)","domestic production","gdp","USA",
236,"OUP(a02,ROW)","domestic production","gdp","ROW",
237,"OUTL(USA)","aggregate output (lagged)","gdp","USA",
238,"OUTL(ROW)","aggregate output (lagged)","gdp","ROW",
239,"OUTP(USA)","aggregate output","gdp","USA",
240,"OUTP(ROW)","aggregate output","gdp","ROW",
241,"OUTX(USA)","shock to output target","pct","USA",
242,"OUTX(ROW)","shock to output target","pct","ROW",
243,"OUY(g01,USA)","composite supply","gdp","USA",
244,"OUY(g01,ROW)","composite supply","gdp","ROW",
245,"OUY(g02,USA)","composite supply","gdp","USA",
246,"OUY(g02,ROW)","composite supply","gdp","ROW",
247,"PBAG(USA)","USD value of permits sold through government","gdp","USA",
248,"PBAG(ROW)","USD value of permits sold through government","gdp","ROW",
249,"PBAL(USA)","value of permits sold, USD","gdp","USA",
250,"PBAL(ROW)","value of permits sold, USD","gdp","ROW",
251,"PGDP(USA)","GDP implicit price deflator","idx","USA",
252,"PGDP(ROW)","GDP implicit price deflator","idx","ROW",
253,"PIM(g01,USA,USA)","landed price of imports","idx","USA",
254,"PIM(g01,USA,ROW)","landed price of imports","idx","USA",
255,"PIM(g01,ROW,USA)","landed price of imports","idx","ROW",
256,"PIM(g01,ROW,ROW)","landed price of imports","idx","ROW",
257,"PIM(g02,USA,USA)","landed price of imports","idx","USA",
258,"PIM(g02,USA,ROW)","landed price of imports","idx","USA",
259,"PIM(g02,ROW,USA)","landed price of imports","idx","ROW",
260,"PIM(g02,ROW,ROW)","landed price of imports","idx","ROW",
261,"PMQ(g01,USA)","import landed price index","idx","USA",
262,"PMQ(g01,ROW)","import landed price index","idx","ROW",
263,"PMQ(g02,USA)","import landed price index","idx","USA",
264,"PMQ(g02,ROW)","import landed price index","idx","ROW",
265,"PMR(g01,USA)","price of imports incl tariffs","idx","USA",
266,"PMR(g01,ROW)","price of imports incl tariffs","idx","ROW",
267,"PMR(g02,USA)","price of imports incl tariffs","idx","USA",
268,"PMR(g02,ROW)","price of imports incl tariffs","idx","ROW",
269,"POI(a01,USA)","sector price of materials","idx","USA",
270,"POI(a01,ROW)","sector price of materials","idx","ROW",
271,"POI(a02,USA)","sector price of materials","idx","USA",
272,"POI(a02,ROW)","sector price of materials","idx","ROW",
273,"PRCE(USA)","household price of energy","idx","USA",
274,"PRCE(ROW)","household price of energy","idx","ROW",
275,"PRCL(USA)","aggregate price of consumer goods lagged","idx","USA",
276,"PRCL(ROW)","aggregate price of consumer goods lagged","idx","ROW",
277,"PRCO(USA)","household price of material","idx","USA",
278,"PRCO(ROW)","household price of material","idx","ROW",
279,"PRCOL(USA)","household price of material - lagged","idx","USA",
280,"PRCOL(ROW)","household price of material - lagged","idx","ROW",
281,"PRCT(USA)","aggregate price of consumer goods","idx","USA",
282,"PRCT(ROW)","aggregate price of consumer goods","idx","ROW",
283,"PRD(g01,USA)","post-tax price of goods","idx","USA",
284,"PRD(g01,ROW)","post-tax price of goods","idx","ROW",
285,"PRD(g02,USA)","post-tax price of goods","idx","USA",
286,"PRD(g02,ROW)","post-tax price of goods","idx","ROW",
287,"PRDL(USA)","weighted price of domestic output lag","idx","USA",
288,"PRDL(ROW)","weighted price of domestic output lag","idx","ROW",
289,"PRDX(USA)","shock to weighted price of domestic output","pct","USA",
290,"PRDX(ROW)","shock to weighted price of domestic output","pct","ROW",
291,"PRE(a01,USA)","sector price of energy","idx","USA",
292,"PRE(a01,ROW)","sector price of energy","idx","ROW",
293,"PRE(a02,USA)","sector price of energy","idx","USA",
294,"PRE(a02,ROW)","sector price of energy","idx","ROW",
295,"PRF(a01,USA)","short run profits","gdp","USA",
296,"PRF(a01,ROW)","short run profits","gdp","ROW",
297,"PRF(a02,USA)","short run profits","gdp","USA",
298,"PRF(a02,ROW)","short run profits","gdp","ROW",
299,"PRFT(USA)","total economywide profits","gdp","USA",
300,"PRFT(ROW)","total economywide profits","gdp","ROW",
301,"PRFY(USA)","profits on raw capital sector","gdp","USA",
302,"PRFY(ROW)","profits on raw capital sector","gdp","ROW",
303,"PRFZ(USA)","imputed short run profits on household capital","gdp","USA",
304,"PRFZ(ROW)","imputed short run profits on household capital","gdp","ROW",
305,"PRGT(USA)","aggregate price of government goods","idx","USA",
306,"PRGT(ROW)","aggregate price of government goods","idx","ROW",
307,"PRID(USA)","weighted price of domestic output","idx","USA",
308,"PRID(ROW)","weighted price of domestic output","idx","ROW",
309,"PRIE(USA)","raw capital sector price of energy","idx","USA",
310,"PRIE(ROW)","raw capital sector price of energy","idx","ROW",
311,"PRII(USA)","price paid by producers for raw capital","idx","USA",
312,"PRII(ROW)","price paid by producers for raw capital","idx","ROW",
313,"PRIM(USA)","weighted price of imports","idx","USA",
314,"PRIM(ROW)","weighted price of imports","idx","ROW",
315,"PRIX(USA)","weighted price of exports","idx","USA",
316,"PRIX(ROW)","weighted price of exports","idx","ROW",
317,"PRK(a01,USA)","implicit rental price","idx","USA",
318,"PRK(a01,ROW)","implicit rental price","idx","ROW",
319,"PRK(a02,USA)","implicit rental price","idx","USA",
320,"PRK(a02,ROW)","implicit rental price","idx","ROW",
321,"PRKY(USA)","implicit raw capital sector rental price","idx","USA",
322,"PRKY(ROW)","implicit raw capital sector rental price","idx","ROW",
323,"PRKZ(USA)","implicit household rental price","idx","USA",
324,"PRKZ(ROW)","implicit household rental price","idx","ROW",
325,"PROI(USA)","raw capital sector price of material","idx","USA",
326,"PROI(ROW)","raw capital sector price of material","idx","ROW",
327,"PRP(a01,USA)","pre-tax producer price","idx","USA",
328,"PRP(a01,ROW)","pre-tax producer price","idx","ROW",
329,"PRP(a02,USA)","pre-tax producer price","idx","USA",
330,"PRP(a02,ROW)","pre-tax producer price","idx","ROW",
331,"PRS(g01,USA)","producer price of composite","idx","USA",
332,"PRS(g01,ROW)","producer price of composite","idx","ROW",
333,"PRS(g02,USA)","producer price of composite","idx","USA",
334,"PRS(g02,ROW)","producer price of composite","idx","ROW",
335,"PRT(a01,g01,USA)","sector-specific input price","idx","USA",
336,"PRT(a01,g01,ROW)","sector-specific input price","idx","ROW",
337,"PRT(a02,g01,USA)","sector-specific input price","idx","USA",
338,"PRT(a02,g01,ROW)","sector-specific input price","idx","ROW",
339,"PRX(g01,USA)","price of exports at source","idx","USA",
340,"PRX(g01,ROW)","price of exports at source","idx","ROW",
341,"PRX(g02,USA)","price of exports at source","idx","USA",
342,"PRX(g02,ROW)","price of exports at source","idx","ROW",
343,"PRXX(USA)","shock to expected price of consumer goods","pct","USA",
344,"PRXX(ROW)","shock to expected price of consumer goods","pct","ROW",
345,"PRY(g01,USA)","purchase price of composite","idx","USA",
346,"PRY(g01,ROW)","purchase price of composite","idx","ROW",
347,"PRY(g02,USA)","purchase price of composite","idx","USA",
348,"PRY(g02,ROW)","purchase price of composite","idx","ROW",
349,"PTAR(USA)","price level target","idx","USA",
350,"PTAR(ROW)","price level target","idx","ROW",
351,"RB10(USA)","interest rate, 10-year, real","pct","USA",
352,"RB10(ROW)","interest rate, 10-year, real","pct","ROW",
353,"REER(USA)","trade-weighted real exch rate, FC/domestic","idx","USA",
354,"REER(ROW)","trade-weighted real exch rate, FC/domestic","idx","ROW",
355,"REXC(USA)","real exchange rate as US$ per unit of region currency","idx","USA",
356,"REXC(ROW)","real exchange rate as US$ per unit of region currency","idx","ROW",
357,"REXN(USA)","real exchange rate with capital controls","idx","USA",
358,"REXN(ROW)","real exchange rate with capital controls","idx","ROW",
359,"RISE(a01,USA)","equity risk premium by sector and region","del","USA",
360,"RISE(a01,ROW)","equity risk premium by sector and region","del","ROW",
361,"RISE(a02,USA)","equity risk premium by sector and region","del","USA",
362,"RISE(a02,ROW)","equity risk premium by sector and region","del","ROW",
363,"RISH(USA)","risk premium shock for human wealth","del","USA",
364,"RISH(ROW)","risk premium shock for human wealth","del","ROW",
365,"RISR(USA)","risk premium in the yield curve","del","USA",
366,"RISR(ROW)","risk premium in the yield curve","del","ROW",
367,"RISW(USA)","risk premium for human wealth","del","USA",
368,"RISW(ROW)","risk premium for human wealth","del","ROW",
369,"RISY(USA)","risk premium for raw-capital sector capital","del","USA",
370,"RISY(ROW)","risk premium for raw-capital sector capital","del","ROW",
371,"RISZ(USA)","risk premium for household capital","del","USA",
372,"RISZ(ROW)","risk premium for household capital","del","ROW",
373,"ROGY(USA)","potential output growth target","pct","USA",
374,"ROGY(ROW)","potential output growth target","pct","ROW",
375,"RVGS(USA)","revenue from unit taxes","gdp","USA",
376,"RVGS(ROW)","revenue from unit taxes","gdp","ROW",
377,"SAVI(USA)","real domestic saving using real interest rates","gdp","USA",
378,"SAVI(ROW)","real domestic saving using real interest rates","gdp","ROW",
379,"SAVN(USA)","real domestic saving using nominal interest rates","gdp","USA",
380,"SAVN(ROW)","real domestic saving using nominal interest rates","gdp","ROW",
381,"SAVT(USA)","domestic non-government saving using nominal interest rates","gdp","USA",
382,"SAVT(ROW)","domestic non-government saving using nominal interest rates","gdp","ROW",
383,"SHEF(a01,USA)","autonomous energy efficiency improvements","pct","USA",
384,"SHEF(a01,ROW)","autonomous energy efficiency improvements","pct","ROW",
385,"SHEF(a02,USA)","autonomous energy efficiency improvements","pct","USA",
386,"SHEF(a02,ROW)","autonomous energy efficiency improvements","pct","ROW",
387,"SHEFC(USA)","consumption autonomous energy efficiency improvements","pct","USA",
388,"SHEFC(ROW)","consumption autonomous energy efficiency improvements","pct","ROW",
389,"SHK(a01,USA)","shock to capital efficiency","pct","USA",
390,"SHK(a01,ROW)","shock to capital efficiency","pct","ROW",
391,"SHK(a02,USA)","shock to capital efficiency","pct","USA",
392,"SHK(a02,ROW)","shock to capital efficiency","pct","ROW",
393,"SHKC(USA)","shock to aggregate consumption","gdp","USA",
394,"SHKC(ROW)","shock to aggregate consumption","gdp","ROW",
395,"SHKI(USA,a01)","shock to inv equation","gdp","USA",
396,"SHKI(USA,a02)","shock to inv equation","gdp","USA",
397,"SHKI(ROW,a01)","shock to inv equation","gdp","ROW",
398,"SHKI(ROW,a02)","shock to inv equation","gdp","ROW",
399,"SHKM(USA)","shock to money demand","pct","USA",
400,"SHKM(ROW)","shock to money demand","pct","ROW",
401,"SHL(USA,a01)","shock to labor due to labor-augmenting technical change and/or population growth","pct","USA",
402,"SHL(USA,a02)","shock to labor due to labor-augmenting technical change and/or population growth","pct","USA",
403,"SHL(ROW,a01)","shock to labor due to labor-augmenting technical change and/or population growth","pct","ROW",
404,"SHL(ROW,a02)","shock to labor due to labor-augmenting technical change and/or population growth","pct","ROW",
405,"SHLY(USA)","shock to raw capital sector labor due to labor-augmenting technical change and/or population growth","pct","USA",
406,"SHLY(ROW)","shock to raw capital sector labor due to labor-augmenting technical change and/or population growth","pct","ROW",
407,"SHLZ(USA)","shock to household capital sector labor due to labor-augmenting technical change and/or population growth","pct","USA",
408,"SHLZ(ROW)","shock to household capital sector labor due to labor-augmenting technical change and/or population growth","pct","ROW",
409,"SHY(a01,USA)","shock to total factor productivity","pct","USA",
410,"SHY(a01,ROW)","shock to total factor productivity","pct","ROW",
411,"SHY(a02,USA)","shock to total factor productivity","pct","USA",
412,"SHY(a02,ROW)","shock to total factor productivity","pct","ROW",
413,"SHYY(USA)","shock to raw capital sector total factor productivity","pct","USA",
414,"SHYY(ROW)","shock to raw capital sector total factor productivity","pct","ROW",
415,"SHYZ(USA)","shock to household capital sector total factor productivity","pct","USA",
416,"SHYZ(ROW)","shock to household capital sector total factor productivity","pct","ROW",
417,"STM(a01,USA)","stock market value","gdp","USA",
418,"STM(a01,ROW)","stock market value","gdp","ROW",
419,"STM(a02,USA)","stock market value","gdp","USA",
420,"STM(a02,ROW)","stock market value","gdp","ROW",
421,"STMT(USA)","total stock market value","gdp","USA",
422,"STMT(ROW)","total stock market value","gdp","ROW",
423,"TAX(g01,USA)","sales tax on composite","pct","USA",
424,"TAX(g01,ROW)","sales tax on composite","pct","ROW",
425,"TAX(g02,USA)","sales tax on composite","pct","USA",
426,"TAX(g02,ROW)","sales tax on composite","pct","ROW",
427,"TAXC(USA)","revenue from sales and company taxes","gdp","USA",
428,"TAXC(ROW)","revenue from sales and company taxes","gdp","ROW",
429,"TAXE(USA)","revenue from externality taxes","gdp","USA",
430,"TAXE(ROW)","revenue from externality taxes","gdp","ROW",
431,"TAXH(USA)","revenue from taxes on wages","gdp","USA",
432,"TAXH(ROW)","revenue from taxes on wages","gdp","ROW",
433,"TAXL(USA)","revenue from lump-sum taxes","gdp","USA",
434,"TAXL(ROW)","revenue from lump-sum taxes","gdp","ROW",
435,"TAXM(USA)","tariff revenue","gdp","USA",
436,"TAXM(ROW)","tariff revenue","gdp","ROW",
437,"TAXS(USA)","exogenous lump sum tax","gdp","USA",
438,"TAXS(ROW)","exogenous lump sum tax","gdp","ROW",
439,"TAXT(USA)","total revenue","gdp","USA",
440,"TAXT(ROW)","total revenue","gdp","ROW",
441,"TAXX(USA)","external tax revenue","gdp","USA",
442,"TAXX(ROW)","external tax revenue","gdp","ROW",
